#телефон;владелец;
74956261840;dol_Кондитерский ДОМ;
74956261841;dol_Кондитерский ДОМ;
74956269290;dol_Кондитерский ДОМ;
74996428497;АГРЕГАТ-ЭЛЕКТРОПРОМ;
74996428498;АГРЕГАТ-ЭЛЕКТРОПРОМ;
74956261794;АКВАСПОРТ;
74956261795;АКВАСПОРТ;
74956261796;АКВАСПОРТ;
74956269379;АЛЬКОНТ (ХМСЗ);
74956269606;АЛЬКОНТ (ХМСЗ);
74956269628;АЛЬКОНТ (ХМСЗ);
74956269640;АЛЬКОНТ (ХМСЗ);
74956269644;АЛЬКОНТ (ХМСЗ);
74956269645;АЛЬКОНТ (ХМСЗ);
74956269661;АЛЬКОНТ (ХМСЗ);
74956269666;АЛЬКОНТ (ХМСЗ);
74956261007;АПСРТ;
74956261009;АПСРТ;
74956261045;АПСРТ;
74956261555;АРТГРОУТ;
74956261000;АРТКЕРАМОС;
74996428421;АРТУРСКАПИТАЛ;
74996428423;АРТУРСКАПИТАЛ;
74956261909;Баскервиль;
74956261929;Баскервиль;
74956261717;ВЕСТРОН-А;
74956261813;ВЕСТРОН-А;
74956269269;ВЕСТРОН-А;
74996428280;ВодоходЪ;
74996428283;ВодоходЪ;
74996428284;ВодоходЪ;
74996428285;ВодоходЪ;
74996428286;ВодоходЪ;
74996428288;ВодоходЪ;
74956261440;ГАЛЕРЕЯ 'ЛюНиД';
74956261313;ГК ЦЕНТР;
74996428400;ДОМИНАНТА;убрали
74996428410;ДОМИНАНТА;
74996428420;ДОМИНАНТА;
74956261846;ИЗМЕРИТЕЛЬНЫЕ (ХМСЗ);
74956269926;ИЗМЕРИТЕЛЬНЫЕ (ХМСЗ);
74956261174;Икшинское ОПП*;
74996428428;Инфофлот Москва;
74956261175;ИП Ованесян Н.Р.;
74956269296;ИП Ованесян Н.Р.;
74956269297;ИП Ованесян Н.Р.;
74956261839;Исвим;
74956269028;Карачарова И.В.;
74996428315;Карелкамень;
74956269591;КАТЕР-СЕРВИС (ХМСЗ)-1;
74956269592;КАТЕР-СЕРВИС (ХМСЗ)-1;
74956269261;КВАРТИРНЫЕ - Беликов С.Г. (802);
74956261538;КВАРТИРНЫЕ - Битюков В.М. (583);
74956269445;КВАРТИРНЫЕ - Бускин В.Д. (804);
74956261503;КВАРТИРНЫЕ - Гаврилова Е.В. (815);
74956261906;КВАРТИРНЫЕ - Голованова Н.Ю. (827);
74956261008;КВАРТИРНЫЕ - Горохов А.В. (904);
74956261112;КВАРТИРНЫЕ - Иванов М.П. (901);
74956261113;КВАРТИРНЫЕ - Иванов М.П. (902);
74956261114;КВАРТИРНЫЕ - Иванов М.П. (903);
74956261871;КВАРТИРНЫЕ - Карташов В.Р. (822);
74956261492;КВАРТИРНЫЕ - Краюхин А.И. (513);
74956269686;КВАРТИРНЫЕ - Олейников В.Ф. (821);
74956261438;КВАРТИРНЫЕ - Перепелкина И.И. (490);
74956261419;КВАРТИРНЫЕ - Разживин В.М. (491);
74996428452;КВАРТИРНЫЕ - Русаков В.А. (828);
74996428325;КВАРТИРНЫЕ - Сафонова Т.Я. (825);
74996428318;КВАРТИРНЫЕ - Титова О.Ю. (900);
74956269487;КВАРТИРНЫЕ - Шумихин А.Е. (814);
74956261611;КМС-ЦЕНТР;
74956261866;КМС-ЦЕНТР;
74956261743;КРАСВЕНИКА;
74996428434;Лаун-Инжсервисстрой;
74956269602;Логистические системы;
74956269499;МАТОРИН;
74956269515;МАТОРИН;
74956269519;МАТОРИН;
74956269520;МАТОРИН;
74956269524;МАТОРИН;
74956269528;МАТОРИН;
74956269543;МАТОРИН;
74956269548;МАТОРИН;
