2025;4;ООО ""РВЛ-строй"";82М/РСС/2017;01.02.2017;8912,04
2025;4;АНО ""ЦКС"";86М/РСС/2016;01.02.2016;5,58
2025;4;Федеральное бюджетное учреждение ""Служба морской безопасности"";2025-А2-МТС;29.01.2025;6559,08
2025;4;ООО ""ВЕСТРОН-А"";49М/РСС/2017;01.05.2017;55,80
2025;4;АО ""ХМСЗ"";85М/РСС/2016;01.02.2016;1412,88
2025;4;ООО ""КМС-Центр"";500/МТС;01.05.2022;168,60
2025;4;ООО ""Красвеника"";135М/РСС/2018;01.12.2018;40,44
2025;4;Межрегиональное территориальное управление Федеральной службы по надзору в сфере транспорта по Центральному федеральному округу;87М/РСС/2023;05.12.2023;8978,70
2025;4;ООО ""A2"";04М/РСС/2015;01.01.2015;14,52
2025;4;ООО ""САФ-ХОЛЛАНД Рус"";75М/РСС/2016;01.02.2016;13,02
2025;4;ООО ""СинеЛаб СаундМикс"";78М/РСС/2016;01.02.2016;99,36
2025;4;ООО ""МАЯК-РТИ"";92М/РСС/2016;31.08.2016;146,04
2025;4;ООО ""Морсервис"";67М/2018;01.01.2018;95,70
2025;4;ООО ""НеоНет"";97М/РСС/2018;01.04.2018;52,08
2025;4;ООО ""ТК ""Карелкамень"";26М/РСС/2019;01.01.2019;8,64
2025;4;ООО ""СК ПароходЪ"";139М/РСС/2020;01.02.2020;24,18
2025;4;ООО ""Яхт-клуб МРП"";140М/РСС/2020;01.02.2020;35,34
2025;4;ООО «Кантри Риал Эстейт» (Д.У.);42М/РСС/2016;01.12.2016;608,34
2025;4;АНО «Редакция Парламентского телевидения ГД ФС РФ»;413/МТС/А2;01.05.2023;215,28
2025;4;ООО ""Центр медико-биологических технологий"";624/ЦТС/20;01.10.2020;27,90
2025;4;ООО ""Энергокомплекс"";491/ЦТС/11;23.11.2011;1511,04
2025;4;ООО ""ТОКИО"";626/ЦТС/20;01.10.2020;7,44
2025;4;ООО ""Морбизнесцентр"";602/ЦТС/17;01.08.2017;16,74
2025;4;ООО ""БОСА"";630/ЦТС/20;01.10.2020;176,70
2025;4;ООО ""АльтКонсалт"";628/ЦТС/20;01.10.2020;10,08
2025;4;ООО «Полюс»;465/МТС;01.02.2022;5,58
2025;4;ООО «СКАНДИПАКК»;456/МТС;01.02.2022;6263,28
2025;4;ООО «Натекс связь»;494/МТС;01.03.2022;14738,44
2025;4;ООО «Геокс Рус»;139/МТС/А2;01.05.2023;395,88
2025;4;ООО «ТД Хайлон-Рус»;335/МТС/А2;01.05.2023;85,38
2025;4;ООО «Зиландия»;165/МТС/А2;01.05.2023;1028,64
2025;4;Акционерное общество «СервисИнструмент»;539/МТС/А2;01.06.2023;593,80
2025;4;ООО ""Крон Палас"";464/МТС;01.02.2023;443,58
2025;4;ООО ""ЗВЕЗДА ВОДОЛЕЯ"";528/МТС;01.03.2023;212,82
2025;4;ООО ""Вада"";562/МТС;24.06.2024;269,82
2025;4;ООО ""ТСО"";582/МТС/А2;01.11.2024;206,16
2025;4;"Физические лица";---;01.01.1900;148.92
